SPECIES,Sp_Rel_Code,Q1,W1,Q2,Relationship,AveDIST,Colony.Specific.Foraging.Distance,Col.All_Summer_Flower_Cover_Prop,Col.Worker_Preferred_Summer_Flower_Cover_Prop,Col.All_Spring_Flower_Cover_Prop,Col.Queen_Visited_Spring_Flower_Cover_Prop,Col.Spring_Plus_Summer_Flower_Cover_Prop,Col.Arable,Col.Mixed.Vegetation,Col.Nesting_high,250.All_Summer_Flower_Cover_Prop,250.Worker_Preferred_Summer_Flower_Cover_Prop,250.All_Spring_Flower_Cover_Prop,250.Queen_Visited_Spring_Flower_Cover_Prop,250.Spring_Plus_Summer_Flower_Cover_Prop,250.Arable,250.Mixed.Vegetation,250.Nesting_high,500.All_Summer_Flower_Cover_Prop,500.Worker_Preferred_Summer_Flower_Cover_Prop,500.All_Spring_Flower_Cover_Prop,500.Queen_Visited_Spring_Flower_Cover_Prop,500.Spring_Plus_Summer_Flower_Cover_Prop,500.Arable,500.Mixed.Vegetation,500.Nesting_high,1000.All_Summer_Flower_Cover_Prop,1000.Worker_Preferred_Summer_Flower_Cover_Prop,1000.All_Spring_Flower_Cover_Prop,1000.Queen_Visited_Spring_Flower_Cover_Prop,1000.Spring_Plus_Summer_Flower_Cover_Prop,1000.Arable,1000.Mixed.Vegetation,1000.Nesting_high
Bpas,Bpas_1489,0,5,0,Workers 2011 only ,  NA,162.4,0.49527089,0.070582361,0.228141161,0.05451776,0.125100121,0,0.494393017,0.461496244,0.575487715,0.072506289,0.257507177,0.050418093,0.122924382,0.019773918,0.490930619,0.437965819,0.534448697,0.03773669,0.239721906,0.128143031,0.165879721,0.367803816,0.233500418,0.210345798,0.52944611,0.021573425,0.311776984,0.244583579,0.266157004,0.655301597,0.093019049,0.07415382
Bpas,Bpas_1490,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1492,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1493,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1494,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1495,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1496,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1497,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1498,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1499,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1500,0,2,0,Workers 2011 only ,  NA,492,0.246046243,0.012928828,0.62766751,0.620361975,0.633290803,0.711181171,0.060636542,0.016994612,0.115315317,0.034734191,0.41756931,0.41202625,0.446760441,0.573916916,0.078739116,0.035232757,0.256549531,0.013530206,0.631463904,0.624137657,0.637667863,0.712818487,0.061472561,0.017649668,0.463530261,0.008936319,0.554216729,0.542933519,0.551869838,0.620974342,0.041715348,0.023371043
